head_node_label,head_node_attritute,r_type,r_attritube,tail_node_label,tail_node_attribute
district,name:'临安区',school,name:'党校',党校,"name:'临安区委党校',address:'卦畈村九州街100号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市丁兰第三幼儿园',address:'勤丰路500号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市凯旋实验幼儿园',address:'景昙路132', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'笕桥幼儿园',address:'笕桥一区21号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市钱新幼儿园江锦园区',address:'杭海路295号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'宋都阳光国际幼儿园',address:'通盛路8东南方向110米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市九堡中心幼儿园',address:'商贸路18', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'协和幼儿园',address:'钱江路166', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'金太阳幼儿园',address:'三村四区51', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'新苗幼儿园',address:'浙江省杭州市上城区', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市东城第五幼儿园',address:'商贸路与胜稼路交叉口西150米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市丁信幼儿园',address:'杭玻街274西南方向137米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'陶子幼儿园陶子园区',address:'化仙桥路34', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市夏衍幼儿园东宁路园区',address:'环站南路110', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'三村新星幼儿园',address:'三村二区16', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市横塘幼儿园分园',address:'横塘一区13号东南方向129米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市行知幼儿园小塔儿园区',address:'大塔儿巷10', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市人民政府机关幼儿园运新分园',address:'凤起东路889号正南方向190米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市上城区凯旋实验幼儿园景四园区',address:'新苑巷36号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市东城幼儿园阳光园区',address:'九昌路111', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市海潮幼儿园',address:'望江门外直街8', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'钱江苑幼儿园钱江苑园区',address:'钱环路156', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'九堡小天使幼儿园',address:'九堡家苑一区5排22', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市彭埠镇普福幼儿园',address:'普福社区295号', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'浙江大学幼儿园九欣分园',address:'仁爱路168', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市喜洋洋幼儿园',address:'富春路268', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'杭州市天杭幼儿园',address:'艮山西路220号东南方向65米', task_id:'school'"
district,name:'上城区',school,name:'幼儿园',幼儿园,"name:'国泰外语艺校附属景华幼儿园',address:'景芳六区9幢', task_id:'school'"
